team,current_elo
Algeria,1743
Argentina,2113
Australia,1783
Austria,1827
Belgium,1867
Bosnia and Herzegovina,1594
Brazil,1984
Canada,1784
Cape Verde,1549
Colombia,1975
Croatia,1930
Curaçao,1436
Czech Republic,1726
DR Congo,1655
Ecuador,1933
Egypt,1689
England,2020
France,2081
Germany,1923
Ghana,1503
Haiti,1532
Iran,1760
Iraq,1607
Ivory Coast,1676
Japan,1904
Jordan,1690
Mexico,1860
Morocco,1822
Netherlands,1961
New Zealand,1585
Norway,1912
Panama,1737
Paraguay,1833
Portugal,1984
Qatar,1425
Saudi Arabia,1568
Scotland,1767
Senegal,1878
South Africa,1524
South Korea,1752
Spain,2165
Sweden,1719
Switzerland,1889
Tunisia,1636
Turkey,1902
United States,1721
Uruguay,1892
Uzbekistan,1727
