group,team,in_model,attack,defence,strength,current_elo
A,Czech Republic,TRUE,1.9009920021863187,-1.2079219885472652,3.108913990733584,1726
A,Mexico,TRUE,1.792547508623238,-1.5444197894722513,3.336967298095489,1860
A,South Africa,TRUE,1.5442602235910352,-1.010948978371627,2.555209201962662,1524
A,South Korea,TRUE,1.8912472268287448,-1.2212950654666972,3.112542292295442,1752
B,Bosnia and Herzegovina,TRUE,1.5002442399210931,-0.9709942332406439,2.471238473161737,1594
B,Canada,TRUE,1.8298213417331641,-1.2151632870213327,3.044984628754497,1784
B,Qatar,TRUE,1.5635588131313547,-0.6102398344838361,2.173798647615191,1425
B,Switzerland,TRUE,2.2737727853123046,-1.5290543470081617,3.8028271323204663,1889
C,Brazil,TRUE,2.42375730263916,-1.8695032606406345,4.293260563279794,1984
C,Haiti,TRUE,1.3667424366536887,-0.5203574863808663,1.887099923034555,1532
C,Morocco,TRUE,2.003258794103903,-1.9996766586501062,4.002935452754009,1822
C,Scotland,TRUE,1.9402187152005896,-1.3185784726677663,3.258797187868356,1767
D,Australia,TRUE,1.8471190135806863,-1.450879664847139,3.2979986784278252,1783
D,Paraguay,TRUE,1.6620246277248785,-1.6535974069130923,3.315622034637971,1833
D,Turkey,TRUE,2.1517850893506867,-1.2330254034540513,3.3848104928047382,1902
D,United States,TRUE,1.806397345257439,-1.23980376586816,3.046201111125599,1721
E,Curaçao,TRUE,1.0663430904987645,-0.6497779851328614,1.716121075631626,1436
E,Ecuador,TRUE,1.789694087611683,-2.1305523147395222,3.9202464023512054,1933
E,Germany,TRUE,2.488977542983622,-1.5912485399327032,4.080226082916325,1923
E,Ivory Coast,TRUE,1.6392665419543397,-1.3324215165131998,2.9716880584675396,1676
F,Japan,TRUE,2.102987297634197,-1.6044081724328783,3.707395470067075,1904
F,Netherlands,TRUE,2.4466553485583087,-1.6257127438979648,4.072368092456274,1961
F,Sweden,TRUE,2.0488301499977513,-1.1724968149376105,3.2213269649353617,1719
F,Tunisia,TRUE,1.601708947992603,-1.4062045066164555,3.0079134546090582,1636
G,Belgium,TRUE,2.299992630827733,-1.6518408983761586,3.951833529203892,1867
G,Egypt,TRUE,1.6190563605824888,-1.4272561222571756,3.0463124828396646,1689
G,Iran,TRUE,1.893073947283691,-1.2643796769079059,3.157453624191597,1760
G,New Zealand,TRUE,1.138703113458332,-0.9491066718023609,2.087809785260693,1585
H,Cape Verde,TRUE,1.3639715659274916,-0.9490293288131323,2.313000894740624,1549
H,Saudi Arabia,TRUE,1.2838129984295725,-1.1258130992158282,2.4096260976454005,1568
H,Spain,TRUE,2.6933954801763704,-2.015786436834433,4.709181917010803,2165
H,Uruguay,TRUE,1.9671143856664526,-1.8865003056431198,3.8536146913095726,1892
I,France,TRUE,2.46512897153466,-1.8946000849637699,4.35972905649843,2081
I,Iraq,TRUE,1.3992262728687628,-1.0793841688675563,2.4786104417363193,1607
I,Norway,TRUE,2.3586803199951,-1.4864012934237076,3.8450816134188077,1912
I,Senegal,TRUE,1.954897536566322,-1.5189084153449082,3.4738059519112303,1878
J,Algeria,TRUE,1.922269883894715,-1.2423904563077688,3.1646603402024835,1743
J,Argentina,TRUE,2.4816571107293273,-2.060925854012908,4.542582964742236,2113
J,Austria,TRUE,2.0472548198516547,-1.4606739773225508,3.5079287971742055,1827
J,Jordan,TRUE,1.6434523760771287,-0.9725852007327017,2.6160375768098305,1690
K,Colombia,TRUE,2.344388415615216,-1.6291938261232124,3.9735822417384283,1975
K,DR Congo,TRUE,1.4580882053729611,-1.3687270820668616,2.826815287439823,1655
K,Portugal,TRUE,2.5040357959868693,-1.6976170344380532,4.201652830424923,1984
K,Uzbekistan,TRUE,1.4878157468501436,-1.3970506359670694,2.884866382817213,1727
L,Croatia,TRUE,2.1991752394931168,-1.5776787211078223,3.7768539606009393,1930
L,England,TRUE,2.433627855078342,-2.084843378660865,4.5184712337392074,2020
L,Ghana,TRUE,1.5411626361482462,-0.9640410494807485,2.5052036856289948,1503
L,Panama,TRUE,1.5584163907227755,-0.8760636268543812,2.434480017577157,1737
